student_code,name,administrative_class_code
S0433,学生0433,AC11
S0434,学生0434,AC11
S0435,学生0435,AC11
S0436,学生0436,AC11
S0437,学生0437,AC11
S0438,学生0438,AC11
S0439,学生0439,AC11
S0440,学生0440,AC11
S0441,学生0441,AC12
S0442,学生0442,AC12
S0443,学生0443,AC12
S0444,学生0444,AC12
S0445,学生0445,AC12
S0446,学生0446,AC12
S0447,学生0447,AC12
S0448,学生0448,AC12
S0449,学生0449,AC12
S0450,学生0450,AC12
S0451,学生0451,AC12
S0452,学生0452,AC12
S0453,学生0453,AC12
S0454,学生0454,AC12
S0455,学生0455,AC12
S0456,学生0456,AC12
S0457,学生0457,AC12
S0458,学生0458,AC12
S0459,学生0459,AC12
S0460,学生0460,AC12
S0461,学生0461,AC12
S0462,学生0462,AC12
S0463,学生0463,AC12
S0464,学生0464,AC12
S0465,学生0465,AC12
S0466,学生0466,AC12
S0467,学生0467,AC12
S0468,学生0468,AC12
S0469,学生0469,AC12
S0470,学生0470,AC12
S0471,学生0471,AC12
S0472,学生0472,AC12
S0473,学生0473,AC12
S0474,学生0474,AC12
S0475,学生0475,AC12
S0476,学生0476,AC12
S0477,学生0477,AC12
S0478,学生0478,AC12
S0479,学生0479,AC12
S0480,学生0480,AC12
